Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
127120,KR7127120004,제이에스링크,KOSDAQ,벤처기업부,39700,2,-350,-0.87,39700,40500,37200,198708,7778064500,1374455526200,34621046,KSQ
475830,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,63100,2,-1000,-1.56,65200,66400,61300,173497,11167226350,1357490807500,21513325,KSQ
077970,KR7077970002,STX엔진,KOSPI,,33600,2,-1950,-5.49,34500,35000,32700,309313,10429423025,1348974916800,40148063,STK
073240,KR7073240004,금호타이어,KOSPI,,4650,2,-130,-2.72,4800,4800,4520,896020,4120448193,1335760334550,287260287,STK
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,62300,2,-4500,-6.74,65200,65200,61100,238585,14966826250,1329162961700,21334879,KSQ
007310,KR7007310006,오뚜기,KOSPI,,328500,2,-3500,-1.05,332000,335000,325000,3504,1147656500,1316572155000,4007830,STK
099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,119400,2,-5600,-4.48,123600,123600,116000,117110,13984662000,1307582593200,10951278,KSQ
030610,KR7030610000,교보증권,KOSPI,,11410,2,-290,-2.48,11900,12000,11150,76020,870109330,1300317385010,113962961,STK
281820,KR7281820001,케이씨텍,KOSPI,,65300,2,-2400,-3.55,65000,70100,62400,147766,9718286700,1292852563300,19798661,STK
294870,KR7294870001,IPARK현대산업개발,KOSPI,,19510,1,90,0.46,19420,19860,18850,259050,5031505295,1285852008300,65907330,STK
003530,KR7003530003,한화투자증권,KOSPI,,5970,2,-30,-0.5,6040,6350,5820,2236026,13408854735,1280850216750,214547775,STK
195870,KR7195870001,해성디에스,KOSPI,,74800,2,-6300,-7.77,76500,79200,73500,173963,13136113200,1271600000000,17000000,STK
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,63200,2,-200,-0.32,67200,68900,61000,439919,28358559250,1249948996800,19777674,KSQ
093370,KR7093370005,후성,KOSPI,,11630,1,170,1.48,12220,12550,10590,3194630,36697439775,1247379487900,107255330,STK
004000,KR7004000006,롯데정밀화학,KOSPI,,48050,2,-1900,-3.8,50200,50200,47300,49720,2394591850,1239690000000,25800000,STK
000815,KR7000811000,삼성화재우,KOSPI,,410000,2,-1500,-0.36,407500,418500,402000,45014,18508774000,1232878200000,3007020,STK
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,14920,2,-1070,-6.69,15670,15670,14550,790327,11884648085,1224116622000,82045350,KSQ
090710,KR7090710005,휴림로봇,KOSDAQ,중견기업부,10180,2,-260,-2.49,10400,10400,9880,3064174,30953076380,1216074265460,119457197,KSQ
012630,KR7012630000,HDC,KOSPI,,20350,2,-150,-0.73,20350,20750,20000,116235,2349428550,1215744022350,59741721,STK
082640,KR7082640004,동양생명,KOSPI,,7760,1,140,1.84,7690,7980,7520,311418,2395789715,1211045628560,156062581,STK
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,17850,2,-1640,-8.41,19290,19290,17600,1001012,17989789235,1207599963150,67652659,KSQ
051915,KR7051911006,LG화학우,KOSPI,,156800,2,-5600,-3.45,162500,162500,151600,32111,5018063350,1205603840000,7688800,STK
475150,KR7475150009,SK이터닉스,KOSPI,,35350,2,-1650,-4.46,36050,36600,34600,306239,10806305575,1204268591400,34067004,STK
189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,111700,2,-10300,-8.44,121900,121900,109200,195307,21756014600,1199378414900,10737497,KSQ
415640,KR7415640002,KB발해인프라,KOSPI,,9680,1,60,0.62,9700,9740,9630,90527,875493815,1186240904640,122545548,STK
036540,KR7036540003,SFA반도체,KOSDAQ,중견기업부,7180,2,-710,-9.0,7600,7600,7050,2924582,21207768400,1180824975540,164460303,KSQ
003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,10540,2,-500,-4.53,11030,11040,10460,704668,7472386870,1180539245340,112005621,KSQ
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,50200,2,-4500,-8.23,56000,56400,50000,336408,17356126850,1175374065200,23413826,KSQ
027360,KR7027360007,아주IB투자,KOSDAQ,중견기업부,9700,2,-540,-5.27,10110,10220,9600,3020931,29577301585,1175110438200,121145406,KSQ
195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,41200,2,-850,-2.02,42550,42800,40950,110839,4603303000,1167191509200,28329891,KSQ
001820,KR7001820000,삼화콘덴서,KOSPI,,111800,1,1400,1.27,105000,119800,98000,1550958,173627786700,1162161000000,10395000,STK
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,12310,2,-520,-4.05,12900,12910,12300,304131,3788138605,1144495734260,92972846,KSQ
491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,45650,2,-3750,-7.59,49700,50200,45650,215642,10046934125,1141450449150,25004391,KSQ
183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,108600,1,9800,9.92,98000,109800,94000,309221,31923806400,1136030282400,10460684,KSQ
295310,KR7295310007,에이치브이엠,KOSDAQ,기술성장기업부,94300,2,-8300,-8.09,95100,100900,94000,202392,19547935900,1134173541300,12027291,KSQ
038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,10480,2,-50,-0.47,10110,10500,9900,1845411,18872719915,1130962886880,107916306,KSQ
000080,KR7000080002,하이트진로,KOSPI,,16110,2,-480,-2.89,16590,16620,15970,145309,2340913995,1129852473210,70133611,STK
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,40600,2,-3250,-7.41,43400,43400,40500,132955,5509704000,1115848288800,27483948,KSQ
458870,KR7458870003,씨어스,KOSDAQ,기술성장기업부,29100,2,-950,-3.16,29850,30300,28850,288202,8442351275,1107538434000,38059740,KSQ
466100,KR7466100005,클로봇,KOSDAQ,기술성장기업부,43200,2,-3250,-7.0,43200,44250,42050,276907,11941511375,1099839124800,25459239,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,14700,2,-540,-3.54,15410,15960,14700,340234,5108519445,1093424749200,74382636,KSQ
089860,KR7089860001,롯데렌탈,KOSPI,,30050,2,-700,-2.28,30750,30750,29700,62640,1873089300,1091097109400,36309388,STK
388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,92500,2,-7100,-7.13,95000,95800,86600,89593,8118232950,1089774412500,11781345,KSQ
006110,KR7006110001,삼아알미늄,KOSPI,,71900,2,-9700,-11.89,79800,80700,69300,173606,12820065750,1087376414500,15123455,STK
490470,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,31950,2,-6150,-16.14,37050,37050,31200,1270212,41651293275,1086296485500,33999890,KSQ
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,16400,2,-1250,-7.08,17300,17610,16380,414861,6890373915,1077980987200,65730548,KSQ
300720,KR7300720000,한일시멘트,KOSPI,,14320,2,-140,-0.97,14780,14790,14180,112369,1609140485,1053167392880,73545209,STK
000210,KR7000210005,DL,KOSPI,,50100,2,-1100,-2.15,51700,51700,48550,60859,3028810450,1049889788400,20955884,STK
356860,KR7356860007,티엘비,KOSDAQ,우량기업부,106700,2,-1600,-1.48,106000,111700,100500,222444,23796694100,1049141621000,9832630,KSQ
388210,KR7388210007,씨엠티엑스,KOSDAQ,벤처기업부,107800,1,1800,1.7,103500,112700,100700,110362,11866465100,1040748416400,9654438,KSQ
496320,KR7496320003,본시스템즈,KONEX,일반기업부,1023000,0,0,0.0,0,0,0,0,0,1039340379000,1015973,KNX
003090,KR7003090008,대웅,KOSPI,,17850,2,-260,-1.44,18400,18430,17630,61674,1107491470,1037834343000,58141980,STK
